x0000,y0000
866.790702,3756.267982,
873.4738548,3656.423142,
880.1541167,3770.981958,
886.8314985,3452.529468,
893.5060112,3960.161655,
900.1776658,3540.813327,
906.8464733,3563.93529,
913.5124445,4282.818138,
920.1755904,3701.616069,
926.8359221,4191.381285,
933.4934503,3796.205918,
940.1481862,4184.024296,
946.8001407,4048.445514,
953.4493246,3869.7758,
960.0957491,4269.15516,
966.7394249,4417.345923,
973.3803632,4166.157325,
980.0185748,4231.319221,
986.6540707,4504.578783,
993.2868618,4886.091172,
999.9169591,4629.647582,
1006.544374,5117.310801,
1013.169116,5202.441665,
1019.791198,5447.324272,
1026.41063,5208.747655,
1033.027422,5750.011787,
1039.641587,5848.805629,
1046.253134,6105.249218,
1052.862076,6051.648304,
1059.468422,6209.298051,
1066.072184,6142.034159,
1072.673373,6990.1898,
1079.271999,6702.216262,
1085.868074,6424.752706,
1092.461608,7218.256435,
1099.052614,6508.832572,
1105.6411,7504.127977,
1112.227079,7556.677893,
1118.810562,7213.001443,
1125.391558,8188.327881,
1131.970081,7745.85759,
1138.546139,8135.777965,
1145.119745,7792.101516,
1151.690908,7904.558335,
1158.259641,8621.339187,
1164.825954,7813.121482,
1171.389858,8718.031032,
1177.951365,8794.753909,
1184.510484,8648.665143,
1191.067227,8916.669714,
1197.621605,8904.057734,
1204.173628,8844.15083,
1210.723309,9298.182102,
1217.270657,8983.933606,
1223.815684,9453.729853,
1230.3584,9270.856146,
1236.898818,9228.816214,
1243.436946,8469.995429,
1249.972798,8536.208323,
1256.506382,7428.456098,
1263.037711,7842.549435,
1269.566796,7257.143373,
1276.093647,8451.07746,
1282.618275,8792.651912,
1289.140692,8972.372624,
1295.660907,9638.705557,
1302.178933,9552.523695,
1308.69478,10129.52177,
1315.208459,10408.03632,
1321.719981,16633.09935,
1328.229357,9891.996151,
1334.736598,9690.204474,
1341.241715,9113.206399,
1347.744719,8623.441184,
1354.24562,7870.926389,
1360.74443,7082.677652,
1367.24116,6867.222997,
1373.735821,6000.149387,
1380.228423,5532.455136,
1386.718978,4650.667549,
1393.207497,4383.713976,
1399.69399,3926.529709,
1406.178468,4125.168391,
1412.660943,4127.270387,
1419.141425,3849.806832,
1425.619926,4632.800577,
1432.096456,5447.324272,
1438.571026,5293.878518,
1445.043647,6191.43108,
1451.51433,6651.768343,
1457.983087,8190.429877,
1464.449927,8581.401251,
1470.914863,9075.370459,
1477.377904,9821.579264,
1483.839063,10734.8968,
1490.298349,11139.53115,
1496.755774,11391.77075,
1503.211349,11998.19678,
1509.665085,12489.01299,
1516.116992,12739.15059,
1522.567082,13382.36156,
1529.015366,13386.56555,
1535.461854,13756.51696,
1541.906558,13249.93577,
1548.349488,12844.25042,
1554.790655,13378.15757,
1561.230071,13118.56098,
1567.667747,13427.55449,
1574.103692,12905.20832,
1580.537919,13038.68511,
1586.970439,13649.31513,
1593.401261,13366.59658,
1599.830397,13014.51215,
1606.257859,13140.63195,
1612.683656,13596.76522,
1619.107801,13180.56988,
1625.530303,13821.67885,
1631.951175,13276.21073,
1638.370426,13418.0955,
1644.788068,13888.94275,
1651.204112,13248.88477,
1657.618568,13138.52995,
1664.031449,13902.60573,
1670.442764,12961.96223,
1676.852524,13947.79865,
1683.260741,13241.52778,
1689.667426,13454.88044,
1696.072589,13830.08684,
1702.476241,13403.38153,
1708.878394,13779.63892,
1715.279058,13500.07337,
1721.678244,13356.0866,
1728.075964,13847.95381,
1734.472228,13231.0178,
1740.867046,13483.2574,
1747.260432,12878.93337,
1753.652394,13802.76089,
1760.042944,12800.10849,
1766.432093,13480.1044,
1772.819852,13408.63652,
1779.206232,12526.84893,
1785.591243,13340.32163,
1791.974898,12740.20159,
1798.357206,13625.14217,
1804.738179,12567.83786,
1811.117828,12301.93529,
1817.496163,12526.84893,
1823.873196,12079.12365,
1830.248937,11997.14578,
1836.623398,11127.97017,
1842.99659,12001.34977,
1849.368522,10548.8701,
1855.739207,11187.87707,
1862.108656,11018.66635,
1868.476878,10852.60861,
1874.843886,10342.87443,
1881.20969,10312.39548,
1887.574301,10379.65937,
1893.93773,9864.670195,
1900.299988,9922.475102,
1906.661087,9350.732018,
1913.021036,9238.275198,
1919.379847,8846.252827,
1925.737531,9407.485927,
1932.094099,9107.951407,
1938.449561,9096.390426,
1944.803929,8880.935771,
1951.157214,8590.860236,
1957.509427,9045.942507,
1963.860578,8725.38802,
1970.210679,8651.818138,
1976.55974,8782.141929,
1982.907773,8332.31465,
1989.254788,8467.893433,
1995.600796,8287.121722,
2001.945809,7808.917489,
2008.289837,7660.726726,
2014.632892,7650.216743,
2020.974983,7481.006014,
2027.316123,6600.269425,
2033.656322,7091.085639,
2039.995591,5880.335579,
2046.33394,6067.413279,
2052.671382,4885.040173,
2059.007927,5220.308636,
2065.343586,5066.862882,
2071.678369,4746.308395,
2078.012289,4503.527784,
2084.345355,4723.186433,
2090.677578,4371.101997,
2097.008971,4324.858071,
2103.339543,4640.157566,
2109.669306,4215.554246,
2115.99827,3963.31465,
2122.326446,3900.254751,
2128.653846,3952.804667,
2134.980481,3814.072889,
2141.306361,3797.256916,
2147.631497,3623.842194,
2153.9559,3385.265576,
2160.279582,3185.575896,
2166.602553,3277.01275,
2172.924824,2884.990378,
2179.246406,3399.979553,
2185.56731,2922.826317,
2191.887547,3265.451768,
2198.207128,2915.469329,
2204.526064,2996.396199,
2210.844366,3023.722155,
2217.162044,2733.64662,
2223.479111,3477.753428,
2229.795576,3090.986048,
2236.111451,3015.314169,
2242.426746,3216.054847,
2248.741473,3141.433967,
2255.055643,2893.398364,
2261.369266,3166.657926,
2267.682354,2848.205437,
2273.994917,3147.739957,
2280.306966,3185.575896,
2286.618513,2848.205437,
2292.929568,3265.451768,
2299.240142,2869.225403,
2305.550246,3166.657926,
2311.859892,3053.150108,
2318.16909,2835.593457,
2324.477851,2975.376233,
2330.786185,3152.994948,
2337.094105,2838.746452,
2343.401621,2976.427231,
2349.708744,2979.580226,
2356.015484,2716.830647,
2362.321853,3144.586962,
2368.627862,3043.691123,
2374.933522,3042.640125,
2381.238843,2955.407265,
2387.543838,2742.054607,
2393.848515,3220.258841,
2400.152887,11512.63555,
2406.456965,2920.72432,
2412.760759,3031.079144,
2419.06428,3055.252105,
2425.36754,2805.114506,
2431.670549,2639.056772,
2437.973319,3446.223478,
2444.275859,2828.236469,
2450.578182,2687.402694,
2456.880298,2844.001443,
2463.182218,3178.218908,
2469.483953,2582.302863,
2475.785514,3076.272071,
2482.086913,2936.489295,
2488.388159,3097.292038,
2494.689263,2575.996873,
2500.990238,3332.71566,
2507.291093,3365.296608,
